CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
48690000;PRODUCAO DE VACINAS;63463,0;262391,0;2059392,9499999997;296264,0;291113,17;0,0
50020000;ATENDIMENTO ODONTOLOGICO POLICIAIS MILITARES;162699,45;135132,53999999998;72209,36000000002;0;0;0
20610000;EDUCACAO SANITARIA PARA PRODUTORES RURAIS;93057,84;916987,9500000001;35940,0;0,0;21934,0;0
13610000;PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS;1303502,85;3624680,1;5791634,760000002;2997648,45;4661807,67;5173092,749999999
41380000;EXAMES  LABORATORIO  INTERESSE SAUDE PUBLICA;621765,8;782051,7299999997;345241,67;814138,3099999998;12839247,860000005;6315019,429999998
41020000;INFRAESTRUTURA TURISTICA MUNICIPIOS-ESTANCIAS;0;0;0;0;0;159083943,34999996
56370000;ESTUDOS MODELAGEM  PPP PARA PROJ.PRIORITARIOS;95740,55;226618,21;0,0;927260,0;1763356,03;0
57030000;REGULARIZACAO FUNDIARIA DE CONJ.HABITACIONAIS;2736352,0;0;0;0;0;0
48160000;AMPLIACAO,ATUAL.MAN.EQUIP.SIST.INFORMATIZADOS;0,0;0,0;0;0;0;0
44580000;VIGILANCIA SANITARIA ANIMAL;2847494,8199999994;5682239,269999996;2602839,799999999;3341671,209999999;4082233,3899999983;0
24900000;PRODUCAO DE LOTES URB. EM PARC. C/MUNICIPIOS;0;0;0;0;0,0;1252738,79
42860000;MONIT. DA QUALID. E CUSTOS TRANSPORTE METROP.;0;0;0;0;0;0,0
51320000;CAPACITACAO EM ESPORTE;0,0;0,0;65000,0;0;0,0;0
21920000;DESENV. DE INICIATIVAS DE INCLUSÃO DIGITAL;0,0;0,0;0;0;0;0
61650000;ATEND. DESCENTRALIZADO A SAUDE POP.PRISIONAL;0;0;0;0;0,0;0,0
54690000;OFICINAS CULTURAIS;28927,619999999995;33517,590000000004;680335,47;629649,45;493315,88999999996;37945,69
49630000;PRODUCAO RENDA ASSENT.QUILOMBOS DEMAIS BENEF.;396913,85;219294,98;269977,80000000005;571834,2000000001;285602,39;151675,92
18590000;DESENVOLVIMENTO ECOTURISMO REG.MATA ATLANTICA;2782224,96;2625855,71;434944,36;1847764,2500000002;35304,16;45763,0
59380000;ENSINO TECNICO;12406300,679999996;11697880,1;29235117,68;1667049,22;12205449,54;0
49920000;ADMINISTRACAO GERAL DA POLICIA MILITAR;0;0;0;0;0;19671968,569999956
51240000;LAZER PARA TODOS;0;0;0;0;0;0,0
54640000;SUPORTE IMPLEM.POLITICAS PUBLICAS MUNICIPIOS;2581,3;4435,2;5366,38;0;0;0
55600000;EDUC PUBLICO-INFORMAC.EDUC.P/PUB.VIA INTERNET;99868,09;0;0;0;0;0
50000000;RESGATE;526688,46;5030195,53;2065126,17;2115063,34;1579116,0999999999;0
50990000;ACOES DE COMUNICACAO DA PGE;10728,0;100838,0;94530,0;0;0;0
57320000;GESTAO DE MUSEUS;0,0;213156,0;0,0;192612,0;3270335,0;0,0
57580000;ACOES DE CONCESSAO SUBSIDIOS HABITACIONAIS;0,0;0,0;2000000,0;0,0;351300,0;0
61440000;PROVISAO DE POSTOS DE TRABALHO;0;0;0;0;0;2862479,6100000003
47870000;JUVENTUDE NOVOS CAMINHOS;0,0;0,0;0,0;0;0;0
40430000;PROMOCAO DE ATIVIDADES CULTURAIS;377328,0;413300,00999999995;420730,98;493661,66000000003;483475,77999999997;556709,6
58820000;IMPLEMENTACAO POLITICA GESTAO DO CONHECIMENTO;350000,0;0,0;137300,0;0;0;0
56280000;FORMACAO APERF.SERVIDORES SISTEMA PENAL;11792,150000000001;17587,87;68454,36;2434481,479999998;0;0
12410000;SUBSCRICAO DE ACOES DO METRO PAGAMENTO DIVIDA;0,0;50837,09;0;0;0;0
59790000;SISTEMA EST. DE BIBLIOTECAS PUBLICAS-SISEB;0;0;0;0;0;0,0
24850000;FINAN. ACOES BACIA BAIXO TIETE - USO DA AGUA;0;0;0;0;0,0;0
60970000;INTEG. ENERGETICA BIOMASSA E BIOCOMBUSTIVEIS;0;0;0;0,0;260000,0;0
60430000;PESQUISAS E ESTUDOS SOBRE POLITICAS PUBLICAS;0;0;0,0;974328,6300000001;2151400,2899999996;1504788,9100000001
51540000;ADMINISTRACAO SEC. EDUCACAO E ENT.VINCULADA;54507855,729999974;51686788,74999994;53294861,90999999;59533865,61999999;532454764,7899997;416708,0299999999
42480000;ORIENTACAO AO TRABALHADOR;0;0;0;0;0;770710,07
57570000;DESENV. ENS. MEDIO-PROF. MAGISTERIO-FUNDEB;0;0;0;0;0;0,0
60610000;PREVENCAO E EDUCACAO PUBLICA;0;0;0;0;0;512078,0
49850000;GESTAO DA POLITICA DE SEGURANCA PUBLICA;16880448,889999997;16583228,799999999;20449863,37;24603509,299999993;108204666,36999996;130553132,94000003
23710000;APOIO A GESTAO DAS MICRO E PEQUENAS EMPRESAS;0;0;0;0,0;623073,12;0
60580000;OLHO DIGITAL;0;0;0,0;374262,57;395340,66000000003;206690,89
61380000;CONSER., MANUT. E REPAR EM PREDIOS ESCOLARES;0;0;0;0,0;43346417,89000002;0
56320000;TRANSPORTE DE ALUNOS DO ENSINO MEDIO;0,0;0,0;0;0;0;0
53580000;APOIO TECNICO-ADMINISTRATIVO;2495225,64;968744,6900000001;2070838,5999999999;2687,04;0;0
14180000;DUPLICACAO IMPLANT. RECUP. DE ROD. ESTADUAIS;37020360,50999999;42311513,41;558052952,5500001;788200014,03;463556971,8300003;0
47130000;GESTAO PUBLICA EM DESENVOLVIMENTO RURAL;4464812,689999999;4786352,8999999985;4788784,739999999;5976943,999999997;7722687,059999999;6964345,56
42870000;APOIO ADMINISTRATIVO;0,0;0,0;0;0;0;0
48490000;APOIO FINANCEIRO AOS MUNICIPIOS;0;0;0;0;0;59341200,879999995
54910000;MANUTENCAO AMPL.SIST.ESTRATEGICO INFORMACOES;0,0;0,0;0;0;0;0
61300000;EJA MUNDO DO TRABALHO-EDUC. JOVENS E ADULTOS;0;0;0,0;2198045,35;7235786,25;605469,84
42270000;PROMOCAO DO EMPREGO E TRABALHO;0;0;0;0;0;0,0
56780000;GESTAO DE COLECOES CIENTIFICAS;0;0;0;0;0;11069,61
57340000;MUSEUS HISTORICOS - CAPITAL E INTERIOR;73084,89;137275,45;292217,53;499050,0;0;0
60350000;PROTECAO SOCIAL ESPECIAL DE ALTA COMPLEXIDADE;0;0;0;0;0;8007153,120000006
54210000;ADMINISTRACAO GERAL DO IAMSPE;8130901,989999999;14386484,280000001;9313200,090000002;8160024,869999998;5769658,04;0
48490000;APOIO FINANCEIRO ENT.FILANTROPICAS MUNICIPAIS;14970191,459999999;20919818,069999997;158771622,35000002;122204747,85000001;276133811,68999994;0
