CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
754;BIOCOMBUSTIVEIS;0;0;0;0,0;260000,0;250000,0
422;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;14030526,330000004;26696626,040000018;22678114,25999999;27289906,709999997;24130665,72;24855926,509999998
92;REPRESENTACAO JUDICIAL EXTRAJUDICIAL;54188277,160000004;56185001,380000025;59838469,04;83859969,21999988;90287569,1600001;94250747,39999995
306;ALIMENTACAO E NUTRICAO;77355852,71000005;93042325,45999992;155463148,6600001;95270742,35999997;119614887,63999991;77960510,93000002
544;RECURSOS HIDRICOS;94391078,25999996;37436910,96000001;69690097,41000001;71422915,48;108962238,56000006;111946676,41999999
129;ADMINISTRACAO DE RECEITAS;183512659,05999997;211558855,77000013;214463329,73000008;234861074,89000002;243470506,75000003;117166350,22999993
334;FOMENTO AO TRABALHO;659392,2500000001;228205,41;583159,1199999998;274931,99;268246,25000000006;257654,34000000003
481;HABITACAO RURAL;0;0;0;0;0,0;0,0
572;DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA;90790173,04;58960497,70000002;76686419,59000005;88674242,03;41087641,97999998;19958982,429999996
364;ENSINO SUPERIOR;973326399,999985;1688714970,249982;1777661715,9899747;2077916656,8199935;2465560604,610002;1191524690,6099985
843;SERVICO DA DIVIDA INTERNA;4060476,190000001;549268,1000000001;901579896,3000001;946562578,71;1071201340,61;1187231544,6100001
181;POLICIAMENTO;348527924,3400004;696889515,5400033;775618917,3999978;767391356,8700011;1056691475,6099923;1478458781,9199958
