CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
422;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;82325631,88;81606932,27000012;73867714,59000012;112864048,40999885;121834426,40999891;124510545,48000006
92;REPRESENTACAO JUDICIAL EXTRAJUDICIAL;415077141,2599993;468080602,3399993;1037177838,969998;1111999049,4;1277696249,6299965;1381582023,0799997
306;ALIMENTACAO E NUTRICAO;722276099,0799994;587431593,2699997;554875080,900001;685174605,0800002;659212523,9000006;636026869,6000006
544;RECURSOS HIDRICOS;246360928,90999997;203466990,64999998;219846563,87;254022749,95000017;287509915,93999976;169468237,96999994
129;ADMINISTRACAO DE RECEITAS;1195166705,7299988;1361402765,7599983;1355192852,6900003;1474732365,3800013;1455768344,679992;1669303558,6899927
334;FOMENTO AO TRABALHO;2970528,7699999986;3083145,1299999976;3925869,8600000017;3811610,8199999994;3657984,3899999964;3188333,9099999997
481;HABITACAO RURAL;0;0;0;0;10000000,0;5000000,0
572;DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA;256416900,19999957;234725664,44000018;95579207,31;101542366,34999992;135005038,57;137886602,72
364;ENSINO SUPERIOR;1850106579,2999897;1484184045,9799938;2335269312,190004;2639696788,3800015;3259356923,809999;4810643003,430031
843;SERVICO DA DIVIDA INTERNA;9524800577,450003;9989192932,19001;11117708449,100004;12201182582,660006;13453690603,550003;14638826101,149998
181;POLICIAMENTO;8622563822,459908;9682246640,299881;11814716070,439949;12409951434,039972;13960463163,890106;14975778623,740221
