CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
1027;INOVACAO PARA A COMPETITIVIDADE;32757418,490000002;23134233,83;32276180,930000003;26842980,919999998;12442495,770000001;14869613,600000001
2825;ASSESSORAMENTO E COORDENACAO DA POLITICA ADMINISTRATIVA DO GOVERNO;0;0;196432195,82000038;222104752,67000017;240792716,9099998;0
2809;AUXILIO-ALIMENTACAO;0,0;0,0;0;0;0;0
2901;DESENVOLVIMENTO DO PROCESSO ORCAMENTARIO DO ESTADO DE SAO PAULO;6248571,140000001;5807689,689999999;8680072,07;7507719,610000003;5861882,260000001;10986422,900000002
1817;ASSISTENCIA A POLICIA MILITAR DO ESTADO - CAIXA BENEFICENTE DA POLICIA MILITAR;133199026,01999995;151220328,53000003;181875566,79999986;200583768,96000007;211844716,10999995;278974711,6300002
1308;ABASTECIMENTO, SEGURANCA ALIMENTAR E DINAMIZACAO DAS CADEIAS PRODUTIVAS;0;0;0;0;0;4691558,150000001
2507;REGULARIZACAO FUNDIARIA DE INTERESSE HABITACIONAL;32596868,16;36829522,0;43192263,0;55591912,0;30053015,0;32873117,74
4111;JUVENTUDE EM FOCO;0;0;0;0;0;1043800,0
1021;APOIO AO DESENVOLVIMENTO TECNOLOGICO DO ESTADO DE SAO PAULO;0,0;0;159397332,91000026;176516838,9099999;185674039,10999987;0
2605;PLANEJAMENTO E GESTAO AMBIENTAL PARA O DESENVOLVIMENTO REGIONAL SUSTENTADO;0,0;0;0;0;0;0
1730;ACESSO AOS SERVICOS NA AREA DA CIDADANIA E DA JUSTICA;0;0;130620614,23000003;166312633,20000005;175344555,00000024;0
805;PARCERIAS ESCOLA, COMUNIDADE E SOCIEDADE CIVIL;73547923,98;110550855,68999997;74233015,53999992;87399260,00000001;494565344,77000034;169881835,38000003
4304;DESENVOLVIMENTO DA CIENCIA E DA TECNOLOGIA;827702536,9100001;994229417,98;0,0;0;0;0
4109;SAO PAULO MAIS ESPORTE E LAZER;0;0;0;0;0;71463839,29
1308;ABASTECIMENTO E SEGURANCA ALIMENTAR;201009499,92000023;28765368,019999966;6968084,249999999;6106151,689999999;5507191,870000003;0
1730;DIREITOS HUMANOS E CIDADANIA;0;0;0;0;0;158641808,76000008
2701;DEFESA DOS INTERESSES SOCIAIS E INDIVIDUAIS E DA ORDEM JURIDICA;1323704243,6699996;1446442975,6599991;1549253961,5099993;1688675606,8899984;1802830697,1899989;2085979333,019999
3704;OPERACAO, RECAPACITACAO E MODERNIZACAO DO TRANSPORTE METROPOLITANO - BOA VIAGEM;0,0;0,0;0;0;0;0
2021;GESTAO DOS REGIMES PROPRIOS DE PREVIDENCIA ESTADUAL;15354908952,12003;17577261122,530006;21041127365,360035;23245836763,069973;25474232825,31999;28180467242,649998
4003;APERFEICOAMENTO E CAPACITACAO DOS RECURSOS HUMANOS DA  ADVOCACIA DO ESTADO;0,0;0,0;0,0;0,0;0;0
4408;ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;0;0;828042498,0500011;923803873,8800001;1079324549,2699966;1175414180,4899957
1216;BIBLIOTECAS E LEITURA;0;0;9493175,170000002;16164807,29;20472255,2;15263364,92
1727;MODERNIZACAO DA SECRETARIA DA JUSTICA E DA DEFESA DA CIDADANIA;103779274,31000009;115730765,83999999;0,0;0,0;0;0
1206;RADIOS, TVS EDUCATIVAS E NOVAS MIDIAS;269797500,67999965;195120899,60000002;185764537,20000017;223768046,96000034;178397162,82999998;146569985,34000012
2902;PLANEJAMENTO E FOMENTO AO DESENVOLVIMENTO REGIONAL;0,0;0,0;0,0;0,0;0;0
3701;EXPANSAO DO SISTEMA DE TRANSPORTE COLETIVO METROPOLITANO - PITU EM MARCHA;0,0;0,0;0;0;0;0
935;PRODUCAO DE IMUNOBIOLOGICOS, SOROS, HEMODERIVADOS E MEDICAMENTOS;5412007,59;5545533,84;188613051,31000012;170047216,30999973;396231155,42999953;0
2308;FOMENTO AO EMPREENDEDORISMO;0;0;0;0;0;3995766,9499999993
2804;RECOMPOSICAO DO SERVICO PUBLICO E DA GESTAO DE PESSOAS;0,0;0,0;0,0;0;0;0
2003;CAPACITACAO PARA  SERVIDORES PUBLICOS;11465849,830000002;12004098,450000009;0,0;0;0;0
300;PROCESSO JUDICIARIO;0,0;0,0;0,0;0,0;0;0
2005;FOMENTO AO DESENVOLVIMENTO SOCIOECONOMICO;0;5000000,0;23600000,0;216000000,0;32000000,0;18750000,0
804;MELHORIA DA QUALIDADE DO ENSINO MEDIO;2945185178,9500046;3303773205,5000086;0,0;0,0;0,0;0
2309;OPORTUNIDADES PARA INSERCAO NO MERCADO DE TRABALHO;0;0;0;0;0;20704898,54
3503;ATENCAO A CRIANCA E AO ADOLESCENTE;0,0;0,0;0,0;0;0;0
2816;GOVERNO ELETRONICO II - TRANSACOES INTERNAS;0,0;0,0;0;0;0;0
3810;RACIONALIZACAO DO SISTEMA PRISIONAL;26083507,910000008;28231787,850000005;0,0;0;0;0
2800;GOVERNO ELETRONICO;0;0,0;0;0;0;0
815;MANUTENCAO E SUPORTE DA EDUCACAO BASICA;7346278613,109944;8465807418,969993;5580307556,360018;6461307069,889936;4751952259,35;4250001161,7899904
3930;FORTALECIMENTO DAS COMPETENCIAS REGULADORAS DO ESTADO EM SANEAMENTO E ENERGIA;10533430,87;10393612,049999995;0,0;0,0;0;0
1210;SAO PAULO : UM ESTADO DE LEITORES;0,0;0,0;0;0;0;0
