CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
49920000;ADMINISTRACAO GERAL DA POLICIA MILITAR;0;0;0;0;0;141207234,75999954
51240000;LAZER PARA TODOS;0;0;0;0;0;3790076,98
54640000;SUPORTE IMPLEM.POLITICAS PUBLICAS MUNICIPIOS;228267,5;30588,309999999998;0,0;0;0;0
55600000;EDUC PUBLICO-INFORMAC.EDUC.P/PUB.VIA INTERNET;0,0;0;0;0;0;0
50000000;RESGATE;7548194,059999999;5695822,389999999;5659728,96;5373324,9;2546014,62;0
50990000;ACOES DE COMUNICACAO DA PGE;211484,0;166949,39;0,0;0;0;0
57320000;GESTAO DE MUSEUS;8780916,0;8888698,08;41296000,0;44701469,97;122006613,99999999;114242321,0
57580000;ACOES DE CONCESSAO SUBSIDIOS HABITACIONAIS;11800000,0;12000000,0;3875505,0;3467280,0;0,0;0
61440000;PROVISAO DE POSTOS DE TRABALHO;0;0;0;0;0;42811455,999999985
47870000;JUVENTUDE NOVOS CAMINHOS;0,0;0,0;0,0;0;0;0
40430000;PROMOCAO DE ATIVIDADES CULTURAIS;7407760,060000001;8102775,229999998;8390163,98;9726517,930000002;10861055,28;9347398,349999998
58820000;IMPLEMENTACAO POLITICA GESTAO DO CONHECIMENTO;390652,0;274600,0;0,0;0;0;0
56280000;FORMACAO APERF.SERVIDORES SISTEMA PENAL;600620,32;491663,33999999985;4002124,869999998;0,0;0;0
12410000;SUBSCRICAO DE ACOES DO METRO PAGAMENTO DIVIDA;112369286,0;77690547,19;0;0;0;0
59790000;SISTEMA EST. DE BIBLIOTECAS PUBLICAS-SISEB;0;0;0;0;0;476500,0
24850000;FINAN. ACOES BACIA BAIXO TIETE - USO DA AGUA;0;0;0;0;3091356,12;0
60970000;INTEG. ENERGETICA BIOMASSA E BIOCOMBUSTIVEIS;0;0;0;260000,0;250000,0;0
60430000;PESQUISAS E ESTUDOS SOBRE POLITICAS PUBLICAS;0;0;5363961,160000001;9715218,219999999;10175574,92;4453794,5
51540000;ADMINISTRACAO SEC. EDUCACAO E ENT.VINCULADA;3009963016,20001;3626964061,459986;3882765449,17001;4340700121,549974;0,0;0,0
42480000;ORIENTACAO AO TRABALHADOR;0;0;0;0;0;9480736,149999997
57570000;DESENV. ENS. MEDIO-PROF. MAGISTERIO-FUNDEB;0;0;0;0;0;3870090665,360012
