CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
1301;GERACAO E TRANSFERENCIA DE CONHECIMENTO E TECNOLOGIAS PARA O AGRONEGOCIO;17982078,819999997;16338079,06;23073326,2;32885247,48;25319710,08;0
1215;PRESERVACAO DO PATRIMONIO CULTURAL;2701899,27;3374481,74;2840214,54;3282536,67;2842851,76;59160,0
1703;PROGRAMA ESTADUAL DE DIREITOS HUMANOS;156278,0;935944,88;1291700,14;4579551,450000001;4644611,210000001;16713561,94
4907;FORTALECIMENTO DA INDUSTRIA DE PRODUCAO MINERAL PAULISTA;0;0;0;0;0;324934,38
1717;CONSTRUCAO AMP. REF. E ADAPT.  EDIF. FORENSES JUDICIARIO E  MINISTERIO PUBLICO;19187870,98;38253874,440000005;31184341,750000015;22099672,540000003;33415262,32;11661762,559999999
4001;ADVOCACIA DO ESTADO;7443464,359999999;160000,0;886074,61;22727097,08;47723749,759999946;43670583,45
1603;REGULACAO E FISCALIZACAO DOS SERVICOS DE TRANSPORTES;28495153,67;20296111,78;23055445,290000003;41187142,849999994;49395710,76000003;34331001,480000004
1039;PROGRAMA ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICA;0;0;0,0;217352035,06999978;437474351,60000014;325112652,5600001
1313;RISCO SANITARIO ZERO;7312562,03;6042051,8;2069299,8900000004;926015,93;21934,0;0
1311;DEFESA AGROPECUARIA PARA PROTECAO AMBIENTAL, SAUDE PUBLICA E SEGURANCA ALIMENTAR;0;0;0;0;0;11620342,44
4002;ASSISTENCIA JUDICIARIA AOS LEGALMENTE NECESSITADOS;0,0;0,0;0,0;0;0;0
4907;PROGRAMA ESTADUAL DE MINERACAO;0;0;0,0;738302,0800000001;1129463,8800000001;0
1816;ATENDIMENTO DE SAUDE AOS POLICIAIS MILITARES;2101069,0500000003;1381630,9000000001;1852015,3800000008;7998,75;0;0
5002;FOMENTO AO DESENVOLVIMENTO DAS ESTANCIAS;0;0;0,0;42345411,85;103474820,79999997;0
939;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM BOTUCATU;0;0,0;1128834,4200000004;2689,44;0;0
800;GESTAO PEDAGOGICA DA EDUCACAO BASICA;0;0;0,0;1989119266,0200014;2095077422,2500048;1219498318,4499962
4407;TECNOLOGIA DA INFORMACAO E COMUNICACAO PARA EXCELENCIA DA GESTAO;83389088,5100001;81120403,92;147374669,02000004;38413321,739999995;30234153,48000002;24861139,490000017
4004;GESTAO DO CENTRO DE ESTUDOS;2047603,0400000003;633051,18;1003806,6099999999;1346455,73;1834712,3900000001;0
